rgn_id,impact,value,rgn_label,m49_code,iso3c,georgn,geosubrgn,cells,region
1,ssp245_current,1.302984595298767,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
1,ssp245_medium-term,4.375135689973831,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
1,ssp245_near-term,2.2804079726338387,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
1,ssp585_current,1.8992516845464706,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
1,ssp585_medium-term,6.573926568031311,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
1,ssp585_near-term,3.0699492692947388,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,15,coast
2,ssp245_current,2.4624298065900803,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
2,ssp245_medium-term,6.409880608320236,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
2,ssp245_near-term,3.7553307116031647,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
2,ssp585_current,2.5937836542725563,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
2,ssp585_medium-term,9.338159203529358,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
2,ssp585_near-term,4.472803547978401,Christmas Island,162,CXR,Oceania,Australia and New Zealand,22,coast
3,ssp245_current,4.858148381114006,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
3,ssp245_medium-term,8.919353902339935,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
3,ssp245_near-term,6.114552974700928,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
3,ssp585_current,4.823601812124252,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
3,ssp585_medium-term,11.259903252124786,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
3,ssp585_near-term,6.718266814947128,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,15,coast
4,ssp245_current,7.6049277782440186,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
4,ssp245_medium-term,15.940740376710892,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
4,ssp245_near-term,10.244235336780548,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
4,ssp585_current,7.624469757080078,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
4,ssp585_medium-term,17.288409262895584,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
4,ssp585_near-term,10.74637547135353,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,33,coast
5,ssp245_current,70.7961419983767,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
5,ssp245_medium-term,240.2628222303465,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
5,ssp245_near-term,147.81711809895933,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
5,ssp585_current,78.4603829011321,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
5,ssp585_medium-term,279.8346238285303,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
5,ssp585_near-term,164.8125186264515,New Caledonia,540,NCL,Oceania,Melanesia,369,coast
6,ssp245_current,103.03003363742027,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
6,ssp245_medium-term,335.2832401553169,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
6,ssp245_near-term,199.6479543026071,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
6,ssp585_current,107.13573182479013,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
6,ssp585_medium-term,399.0298955468461,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
6,ssp585_near-term,207.62960222596303,Vanuatu,548,VUT,Oceania,Melanesia,546,coast
7,ssp245_current,152.4217559696408,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
7,ssp245_medium-term,776.7206336639356,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
7,ssp245_near-term,455.3965139593929,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
7,ssp585_current,184.08929438865744,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
7,ssp585_medium-term,895.0624783779494,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
7,ssp585_near-term,461.10513591137715,Solomon Islands,90,SLB,Oceania,Melanesia,1029,coast
