fn_pressure,fn_scenario,new_fn_scenario,fn_time,new_fn_pressure,f_path
sst-raw,ssp245,ssp245,current,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp245,ssp245,near-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp245,ssp245,medium-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp245,ssp245,long-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp585,ssp585,current,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp585,ssp585,near-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp585,ssp585,medium-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
sst-raw,ssp585,ssp585,long-term,sst ,/home/shares/ohi/stressors_2021/impacts/raw_sst
raw_oa,ssp119,ssp119,current,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp119,ssp119,near-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp119,ssp119,medium-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp119,ssp119,long-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp126,ssp126,current,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp126,ssp126,near-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp126,ssp126,medium-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp126,ssp126,long-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp245,ssp245,current,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp245,ssp245,near-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp245,ssp245,medium-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp245,ssp245,long-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp370,ssp370,current,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp370,ssp370,near-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp370,ssp370,medium-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp370,ssp370,long-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp585,ssp585,current,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp585,ssp585,near-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp585,ssp585,medium-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
raw_oa,ssp585,ssp585,long-term,oa,/home/shares/ohi/stressors_2021/_dataprep/oa/raw
nutrient,ssp1,ssp1,current,nutrient-input,/home/shares/ohi/stressors_2021/_dataprep/nutrients/projected
